,algoritmo,h,season,identificador.do.pixel,tempo.de.execu√.√.o..segundos.,slope,acerto_ausencia,erro_detec,erro_n_detec,acerto_pastagem_soja,acerto_soja_sojamilho,acerto_soja_seringa,acerto_floresta_pastagem,"dat_mean[, 6]"
1,bfast_luis_wavelet_java.r,0.0290975765306122,harmonic,floresta_TAN_Pixel_3x3_10902,2.92849326133728,0.000842754520016625,1,0,0,0,0,0,0,2000049
2,bfast_luis_wavelet_java.r,0.0290975765306122,harmonic,floresta_TAN_Pixel_3x3_14204,2.79631280899048,-0.000340459782360161,1,0,0,0,0,0,0,2000049
3,bfast_luis_wavelet_java.r,0.0290975765306122,harmonic,floresta_TAN_Pixel_3x3_1686,1.95441246032715,0.000336581241794989,0,2,0,0,0,0,0,2003257;2004049
4,bfast_luis_wavelet_java.r,0.0290975765306122,harmonic,floresta_TAN_Pixel_3x3_17922,1.9743058681488,-5.76100139504029e-06,1,0,0,0,0,0,0,2000049
5,bfast_luis_wavelet_java.r,0.0290975765306122,harmonic,floresta_TAN_Pixel_3x3_19578,2.08463311195374,-0.000202496475589075,1,0,0,0,0,0,0,2000049
6,bfast_luis_wavelet_java.r,0.0290975765306122,harmonic,floresta_TAN_Pixel_3x3_19613,1.92547726631165,-0.000270179595995391,1,0,0,0,0,0,0,2000049
7,bfast_luis_wavelet_java.r,0.0290975765306122,harmonic,floresta_TAN_Pixel_3x3_22467,1.99777722358704,9.75805290562293e-06,1,0,0,0,0,0,0,2000049
8,bfast_luis_wavelet_java.r,0.0290975765306122,harmonic,floresta_TAN_Pixel_3x3_2271,2.01595211029053,0.000172087931967553,1,0,0,0,0,0,0,2000049
9,bfast_luis_wavelet_java.r,0.0290975765306122,harmonic,floresta_TAN_Pixel_3x3_23302,1.86984944343567,-0.000209951225228624,1,0,0,0,0,0,0,2000049
10,bfast_luis_wavelet_java.r,0.0290975765306122,harmonic,floresta_TAN_Pixel_3x3_27207,1.9687032699585,-0.000189871367283174,1,0,0,0,0,0,0,2000049
11,bfast_luis_wavelet_java.r,0.0290975765306122,dummy,floresta_TAN_Pixel_3x3_10902,2.7132716178894,0.000842754520016625,1,0,0,0,0,0,0,2000049
12,bfast_luis_wavelet_java.r,0.0290975765306122,dummy,floresta_TAN_Pixel_3x3_14204,2.7644784450531,-0.000340459782360161,1,0,0,0,0,0,0,2000049
13,bfast_luis_wavelet_java.r,0.0290975765306122,dummy,floresta_TAN_Pixel_3x3_1686,1.96414732933044,0.000336581241794989,0,2,0,0,0,0,0,2003257;2004049
14,bfast_luis_wavelet_java.r,0.0290975765306122,dummy,floresta_TAN_Pixel_3x3_17922,2.0359091758728,-5.76100139504029e-06,1,0,0,0,0,0,0,2000049
